init,seed,n,n_clusters,d,n_cats,ll,pi,mu,alpha,run_time,delta_alpha,delta_mu,delta_pi
kmeans,2,250,3,5,2,-740.2001679021755,"[[0.40877915 0.40877915 0.81344307 0.04389575 0.0877915 ]
 [0.04389575 0.18655693 0.81344307 0.95610425 0.40877915]
 [0.15363512 0.04389575 0.9122085  0.95610425 0.45816187]]","[[1 2 2 2 1]
 [1 1 2 1 2]
 [1 2 2 2 2]]",[0.2938081  0.32647798 0.37971391],0.05832219123840332,0.09768951796066463,0.1,0.2131023035011447
kmeans,3,250,3,5,2,-716.65078555774,"[[0.85733882 0.56927298 0.6351166  0.95610425 0.9122085 ]
 [0.45816187 0.14266118 0.54183813 0.74211248 0.37585734]
 [0.95610425 0.95610425 0.76406036 0.95610425 0.95610425]]","[[1 2 2 1 1]
 [1 1 2 2 2]
 [1 2 2 2 1]]",[0.17006007 0.69233323 0.1376067 ],0.32207608222961426,0.15466060038127374,0.1,0.16316666937000493
kmeans,4,250,3,5,2,-737.566311251288,"[[0.66529492 0.76406036 0.81344307 0.30178326 0.95610425]
 [0.43072702 0.74211248 0.54183813 0.95610425 0.95610425]
 [0.45816187 0.18655693 0.2085048  0.95610425 0.66529492]]","[[1 1 2 2 1]
 [1 1 2 2 2]
 [1 1 2 1 2]]",[0.22807783 0.3050954  0.46682677],0.014414072036743164,0.11502259845476188,0.2,0.137786012860904
kmeans,5,250,3,5,2,-751.8562458408836,"[[0.95610425 0.48010974 0.95610425 0.54183813 0.2085048 ]
 [0.95610425 0.70919067 0.95610425 0.33196159 0.18655693]
 [0.95610425 0.74211248 0.2085048  0.18655693 0.10973937]]","[[2 1 2 1 1]
 [2 1 1 1 1]
 [1 1 2 1 1]]",[0.50066387 0.20385393 0.2954822 ],0.011368989944458008,0.17896692745881643,0.2,0.1276657257537527
kmeans,6,250,3,5,2,-799.9591140767576,"[[0.25788752 0.51989026 0.95610425 0.66529492 0.66803841]
 [0.10973937 0.6351166  0.95610425 0.10973937 0.0877915 ]
 [0.54183813 0.33470508 0.9122085  0.66803841 0.04389575]]","[[1 2 1 1 1]
 [2 2 2 1 1]
 [2 1 1 1 1]]",[0.15099102 0.54793449 0.30107448],0.04911494255065918,0.04503799320143829,0.3,0.09835748834910063
kmeans,7,250,3,5,2,-729.5951345425763,"[[0.14266118 0.04389575 0.25788752 0.9122085  0.59122085]
 [0.40877915 0.54183813 0.66803841 0.54183813 0.54183813]
 [0.95610425 0.40877915 0.74211248 0.25788752 0.95610425]]","[[1 1 2 1 1]
 [2 2 2 1 2]
 [1 2 1 2 1]]",[0.08505923 0.47045088 0.44448988],0.08103108406066895,0.021917832229626316,0.1,0.0561056465429746
kmeans,8,250,3,5,2,-684.2874442666939,"[[0.95610425 0.40877915 0.54183813 0.33470508 0.76406036]
 [0.95610425 0.85733882 0.76406036 0.04389575 0.89026063]
 [0.18655693 0.10973937 0.76406036 0.04389575 0.18655693]]","[[1 1 2 1 2]
 [2 1 2 1 2]
 [1 2 1 2 2]]",[0.65740446 0.27569682 0.06689872],0.23591303825378418,0.163908596516316,0.2,0.17958649855170475
kmeans,9,250,3,5,2,-752.6622384989333,"[[0.74211248 0.95610425 0.74211248 0.48010974 0.59122085]
 [0.51989026 0.40877915 0.62414266 0.95610425 0.0877915 ]
 [0.76406036 0.9122085  0.33196159 0.95610425 0.18655693]]","[[1 1 2 1 1]
 [1 2 1 2 1]
 [1 2 1 1 2]]",[0.24344973 0.49807788 0.25847238],0.027540206909179688,0.04635978124187219,0.2,0.1478496152265891
random,0,250,3,5,3,-1147.0211734793393,"[[0.6351166  0.95610425 0.0877915  0.10973937 0.0877915 ]
 [0.81344307 0.62414266 0.89026063 0.89026063 0.59122085]
 [0.43072702 0.66529492 0.15363512 0.6351166  0.10973937]]","[[1 2 2 2 1]
 [3 1 3 1 1]
 [1 3 2 3 3]]",[0.46669939 0.32819128 0.20510933],0.046872854232788086,0.020314551683069608,0.06666666666666667,0.02060831532704059
random,1,250,3,5,3,-1098.067913366642,"[[0.52400549 0.70919067 0.25788752 0.95610425 0.04389575]
 [0.3648834  0.81344307 0.30178326 0.33196159 0.3648834 ]
 [0.59122085 0.95610425 0.54183813 0.2085048  0.81344307]]","[[2 1 1 2 2]
 [1 1 2 1 3]
 [1 3 2 3 1]]",[0.76922353 0.15404978 0.07672668],0.10257935523986816,0.04358248063388297,0.06666666666666667,0.050225285547142694
